smile,class
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)N=c3cccc[nH]3)cc2)ccc1O,1
O=C(Cl)c1ccccc1,0
CC1NCCOC1c1ccccc1,1
Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,0
CN1CCN2c3ncccc3Cc3ccccc3C2C1,1
C=CC(=O)OCCOCCOC(=O)C=C,0
CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,0
Cc1ccc(C)cc1,0
CCCCC(C)(C)C(O)C=CC1C(O)CC(=O)C1CCCC=CCC(=O)OC,1
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,0
CC(=O)C1(O)CCC2C3CC(C)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
CCCCCCCCCCCCCC(=O)NCCCCC(N=C(O)C1CCCN1C(=O)C(N=C(O)C(Cc1ccc(O)cc1)N=C(O)C(Cc1ccccc1)N=C(O)C(Cc1ccccc1)N=C(O)CN=C(O)C(CCCNC(=N)N)N=C(O)C(CCC(=O)O)N=C(O)CN=C(O)C1CSSCC(C(=O)NC(CC(=N)O)C(=O)O)N=C(O)C(Cc2ccc(O)cc2)N=C(O)C(CC(=N)O)N=C(O)C(CCC(=O)O)N=C(O)C(CC(C)C)N=C(O)C(CCC(=N)O)N=C(O)C(Cc2ccc(O)cc2)N=C(O)C(CC(C)C)N=C(O)C(CO)N=C(O)C2CSSCC(N=C(O)C(CCC(=N)O)N=C(O)C(CCC(=O)O)N=C(O)C(N=C(O)C(N=C(O)CN)C(C)CC)C(C)C)C(=O)NC(CSSCC(N=C(O)C(CC(C)C)N=C(O)C(Cc3cnc[nH]3)N=C(O)C(CCC(=N)O)N=C(O)C(CC(=N)O)NC(=O)C(NC(=O)C(N)Cc3ccccc3)C(C)C)C(=O)NCC(=O)NC(CO)C(O)=NC(Cc3cnc[nH]3)C(O)=NC(CC(C)C)C(O)=NC(C(C)C)C(O)=NC(CCC(=O)O)C(O)=NC(C)C(O)=NC(CC(C)C)C(O)=NC(Cc3ccc(O)cc3)C(O)=NC(CC(C)C)C(O)=NC(C(C)C)C(O)=N1)C(O)=NC(C(C)O)C(O)=NC(CO)C(O)=NC(C(C)CC)C(O)=N2)C(C)O)C(=O)O,1
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,1
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,0
CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,0
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
COc1ccc(CCOC2CCCCC2N2CCC(O)C2)cc1OC,1
CC(C)c1ccc2oc3[nH]c(=N)c(C(=O)O)cc3c(=O)c2c1,0
COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,0
NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,1
O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2,1
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,1
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,1
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C,0
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,1
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,1
CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,1
CC1(C)OC2CC3C4CC=C5CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(C(=O)CCl)O1,0
CC(=O)OC1=C2C(C)C(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C,1
COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,1
COC=C1CSC2C(=NC(=O)C(NOC)c3csc(=N)[nH]3)C(=O)N2C1C(=O)OC(C)OC(=O)OC(C)C,1
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1
O=c1nc(O)n(Cl)c(=O)n1Cl,0
O=S(=O)(Nc1ccccc1)c1cccc(C=CC(O)=NO)c1,1
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,0
